17530,# doc = music.2.txt,,,,,,,,,,,,,,,,
17531,# speaker = Ars,,,,,,,,,,,,,,,,
17532,# sent = 1308,,,,,,,,,,,,,,,,
17533,,Вот,ВОТ,PART,,,"   _Вот_ , музыку писать",т,о,в,,,,PART,ВОТ,PART,Т
17534,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17535,,музыку,МУЗЫКА,S f inan acc sg,,," Вот , _музыку_ писать очень легко",у,к,ы,з,у,м,S,МУЗЫКА,S f inan acc sg,А
17536,,писать,ПИСАТЬ,V ipf - - inf - -,,,"Вот , музыку _писать_ очень легко .",ь,т,а,с,и,п,V,ПИСАТЬ,V ipf - - inf - -,Ь
17537,,очень,ОЧЕНЬ,ADV -,,,", музыку писать _очень_ легко . ",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
17538,,легко,ЛЕГКО,PRAEDIC,,,музыку писать очень _легко_ .  ,о,к,г,е,л,,PRAEDIC,ЛЕГКО,ADV -,О
17539,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17540,,,,,,,,,,,,,,,,,
17541,# sent = 1309,,,,,,,,,,,,,,,,
17542,,На,НА,PR,,,.   _На_ самом деле .,а,н,,,,,PR,НА,PR,А
17543,,самом,САМЫЙ,A - loc sg plen n -,,,  На _самом_ деле . ,м,о,м,а,с,,A,САМЫЙ,A - loc sg plen n -,Й
17544,,деле,ДЕЛО,S n inan loc sg,,, На самом _деле_ .  ,е,л,е,д,,,S,ДЕЛО,S n inan loc sg,О
17545,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17546,,,,,,,,,,,,,,,,,
17547,# sent = 1310,,,,,,,,,,,,,,,,
17548,,Если,ЕСЛИ,CONJ,,,.   _Если_ к этому подходить,и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
17549,,к,К,PR,,,  Если _к_ этому подходить …,к,,,,,,PR,К,PR,К
17550,,этому,ЭТО,SPRO n - dat sg,,, Если к _этому_ подходить … эээ,у,м,о,т,э,,SPRO,ЭТО,S n inan dat sg,О
17551,,подходить,ПОДХОДИТЬ,V ipf - - inf - -,,,Если к этому _подходить_ … эээ …,ь,т,и,д,о,х,V,ПОДХОДИТЬ,V ipf - - inf - -,Ь
17552,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17553,,эээ,ЭЭЭ,NONLEX,distort,,этому подходить … _эээ_ … с конструктивного,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
17554,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17555,,с,С,PR,,,… эээ … _с_ конструктивного подхода .,с,,,,,,PR,С,PR,С
17556,,конструктивного,КОНСТРУКТИВНЫЙ,A - gen sg plen n -,,,эээ … с _конструктивного_ подхода . ,о,г,о,н,в,и,A,КОНСТРУКТИВНЫЙ,A - gen sg plen n -,Й
17557,,подхода,ПОДХОД,S m inan gen sg,,,… с конструктивного _подхода_ .  ,а,д,о,х,д,о,S,ПОДХОД,S m inan gen sg,Д
17558,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17559,,,,,,,,,,,,,,,,,
17560,# sent = 1311,,,,,,,,,,,,,,,,
17561,,Просто,ПРОСТО,ADV,,,.   _Просто_ берешь из разных,о,т,с,о,р,п,PART,ПРОСТО,PART,О
17562,,берешь,БРАТЬ,V ipf praes sg indic - 2p,,,  Просто _берешь_ из разных стилей,ь,ш,е,р,е,б,V,БРАТЬ,V ipf praes sg indic - 2p,Ь
17563,,из,ИЗ,PR,,, Просто берешь _из_ разных стилей все,з,и,,,,,PR,ИЗ,PR,З
17564,,разных,РАЗНЫЙ,A - gen pl plen - -,,,Просто берешь из _разных_ стилей все самое,х,ы,н,з,а,р,A,РАЗНЫЙ,A - gen pl plen - -,Й
17565,,стилей,СТИЛЬ,S m inan gen pl,,,берешь из разных _стилей_ все самое крутое,й,е,л,и,т,с,S,СТИЛЬ,S m inan gen pl,Ь
17566,,все,ВСЕ,SPRO n - acc sg,,,из разных стилей _все_ самое крутое …,е,с,в,,,,S,ВСЕ,S - - acc pl,Е
